target_id,attribute,entity,target_type,accuracy_score,skill_score,applicable_run_pass,applicable_custom,applicable_roles,internal_agreement_score,label_agreement_score,fai_agreement_score
route_release,route_release,player_play,categorical,0.9288,0.5147,,,['PASS ROUTE'],0.596,0.946,0.946
qb_read,qb_read,player_play,categorical,0.8521,0.4748,,,['PASS'],,,
passer,passer,player_play,boolean,0.9997,0.9981,,,"['PASS', 'PASS ROUTE', 'RUN']",,,
ball_carrier,ball_carrier,player_play,boolean,0.9994,0.9968,,,"['PASS', 'PASS ROUTE', 'RUN']",,,
touchdown_player,touchdown_scored,player_play,boolean,0.9993,0.9589,,,"['PASS', 'PASS ROUTE', 'RUN']",,,
yards_after_contact,yards_after_contact,player_play,continuous,,0.7357,,ball_carrier,"['PASS', 'PASS ROUTE', 'RUN']",,,
fumble,fumble,player_play,boolean,0.9995,0.8724,,ball_carrier,"['PASS', 'PASS ROUTE', 'RUN']",,,
motion,motion,player_play,boolean,0.9813,0.7472,,,"['PASS', 'PASS ROUTE', 'RUN']",,,
read_option_run,read_option_run,play,boolean,0.9598,0.6525,RUN,,,,,
option_run,option_run,play,boolean,0.9594,0.673,RUN,,,,,
speed_option_run,speed_option_run,play,boolean,0.998,0.8249,RUN,,,,,
inverted_run,inverted_run,play,boolean,0.997,0.8104,RUN,,,,,
jet_sweep_run,jet_sweep_run,play,boolean,0.9996,0.9758,RUN,,,,,
reverse_run,reverse_run,play,boolean,0.9995,0.7375,RUN,,,,,
end_around_run,end_around_run,play,boolean,0.9991,0.9266,RUN,,,,,
run_gap_intent,run_gap_intent,play,categorical,0.7678,0.574,RUN,,,,,
completion,completion,play,boolean,0.9994,0.9978,PASS,throw,,,,
pass_depth,target_depth,play,continuous,,0.9427,PASS,throw,,,,
pass_width,target_width,play,continuous,,0.9816,PASS,throw,,,,
time_to_pass,time_to_throw,play,continuous,,0.9609,PASS,throw,,,,
catchable_pass,catchable_target,play,boolean,0.9214,0.7288,PASS,throw,,,,
pump_fake,pump_fake,play,boolean,0.9699,0.1379,PASS,,,,,
highlight_throw,highlight_throw,play,boolean,0.9835,0.4245,PASS,throw,,,,
route_break_depth,route_break_depth,player_play,continuous,,0.9508,,,['PASS ROUTE'],,,
chip_block,chip_block,player_play,boolean,0.9875,0.6227,,,['PASS ROUTE'],,,
separation_type,separation_type,player_play,categorical,0.5474,0.2803,,,['PASS ROUTE'],,,
reception,reception_caught,player_play,boolean,0.9996,0.9985,,target,['PASS ROUTE'],,,
drop,target_dropped,player_play,boolean,0.962,0.4415,,target,['PASS ROUTE'],,,
rec_yards,receiving_yards,player_play,continuous,,0.9904,,reception,['PASS ROUTE'],,,
rec_success,receiving_success,player_play,boolean,0.9304,0.7714,,reception,['PASS ROUTE'],,,
yards_after_catch,yards_after_catch,player_play,continuous,,0.9711,,reception,['PASS ROUTE'],,,
first_read_throw,first_read_throw,play,boolean,0.671,0.0,PASS,throw,,,,
throw_hindered,throw_hindered,play,boolean,0.9904,0.3356,PASS,throw,,,,
run_concept,run_concept,play,categorical,0.9345,0.8758,RUN,,,0.437,0.598,0.586
designed_qb_run,designed_qb_run,play,boolean,0.9964,0.8646,RUN,,,,,
